"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Open Access","Source","EID"
"Becchetti L.; Diggavi S.; Leonardi S.; Marchetti-Spaccamela A.; Muthukrishnan S.; Nandagopal T.; Vitaletti A.","Becchetti, L. (56218807100); Diggavi, S. (7003736362); Leonardi, S. (56366507000); Marchetti-Spaccamela, A. (7004071298); Muthukrishnan, S. (7005950502); Nandagopal, T. (59801443300); Vitaletti, A. (6506463530)","56218807100; 7003736362; 56366507000; 7004071298; 7005950502; 59801443300; 6506463530","Parallel scheduling problems in next generation wireless networks","2002","Annual ACM Symposium on Parallel Algorithms and Architectures","","","","238","247","9","8","10.1145/564870.564911","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036948987&doi=10.1145%2f564870.564911&partnerID=40&md5=b9504ccb6e9fda8635edcfd709a13d99","Next generation 3G/4G wireless data networks allow multiple codes (or channels) to be allocated to a single user, where each code can support multiple data rates. Providing fine-grained QoS to users in such networks poses the two dimensional challenge of assigning both power (rate) and codes for every user. This gives rise to a new class of parallel scheduling problems. We abstract general downlink scheduling problems suitable for proposed next generation wireless data systems. This includes a communication-theoretic model for multirate wireless channels. In addition, while conventional focus has been on throughput maximization, we attempt to optimize the maximum response time of jobs, which is more suitable for stream of user requests. We present provable results on the algorithmic complexity of these scheduling problems. In particular, we are able to provide very simple, online algorithms for approximating the optimal maximum response time. This relies on resource augmented competitive analysis. We also perform on experimental study with realistic data of channel conditions and user requests to show that our algorithms are more accurate than our worst case analysis shows, and they provide fine-grained QoS to users effectively.","","Algorithms; Communication channels (information theory); Computational complexity; Data communication systems; Mathematical models; Online systems; Optimization; Quality of service; Response time (computer systems); Scheduling; Telecommunication links; Telecommunication networks; Algorithmic complexity; Multirate wireless channels; Parallel scheduling problems; Wireless networks; Wireless telecommunication systems","Conference paper","","Scopus","2-s2.0-0036948987"
"Gutierrez D.M.J.; Anagnostopoulos A.; Chatzigiannakis I.; Vitaletti A.","Gutierrez, Daniel Mauricio Jimenez (58107303100); Anagnostopoulos, Aris (7005821954); Chatzigiannakis, Ioannis (6602645904); Vitaletti, Andrea (6506463530)","58107303100; 7005821954; 6602645904; 6506463530","FedArtML: A Tool to Facilitate the Generation of Non-IID Datasets in a Controlled Way to Support Federated Learning Research","2024","IEEE Access","12","","","81004","81016","12","7","10.1109/ACCESS.2024.3410026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195379558&doi=10.1109%2fACCESS.2024.3410026&partnerID=40&md5=ab57e25ffc19cf88e07316f2abfe06ca","Federated Learning (FL) enables collaborative training of Machine Learning (ML) models across decentralized clients while preserving data privacy. One of the challenges that FL faces is when the clients' data is not independent and identically distributed (non-IID). It is, therefore, crucial to quantify how non-IID data impacts performance. However, due to the limited number of federated data available, it is not easy to carry out real-world simulations. In this work, we propose for the first time 1) the Hist-Dirichlet-based and Min-Size-Dirichlet methods for partitioning data into multiple nodes using the features and quantity distribution and the Dirichlet distribution. We use the 2) Jensen-Shannon and Hellinger distances for quantifying the degree of IID data. Moreover, we implemented 3) state-of-the-art partitioning methods based on the labels' distribution across clients. All our proposals are open-source in a library called FedArtML, publicly available on PyPI. It facilitates research on cross-silo and cross-device FL, allowing a systematic and controlled partition of centralized datasets using the label, features, and quantity skewness. To demonstrate the value of our proposed methods and the robustness of FedArtML, we experimented in the ECG arrhythmia detection field with Physionet 2020 data. Our results demonstrate that our tool generates federated datasets for multi-client model training and accurately measures client distribution heterogeneity. Our approach achieves 48% higher non-IID-ness than existing feature skew methods, providing more granularity. Furthermore, we validate our simulated federated datasets against real-world data, revealing only a 2% F1-Score difference, affirming the method's real-life applicability.  © 2013 IEEE.","Centralized datasets; clients heterogeneity; federated datasets; federated learning; heterogeneity metrics; machine learning; non-IID-ness","Artificial intelligence; Learning systems; Centralised; Centralized dataset; Client’s heterogeneity; Distributed database; Federated dataset; Federated learning; Heterogeneity metric; Machine-learning; Non-IID-ness; Systematic; Data privacy","Article","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85195379558"
"Bergamini L.; Crociani C.; Vitaletti A.; Nati M.","Bergamini, Lorenzo (36665811800); Crociani, Carlo (24072768000); Vitaletti, Andrea (6506463530); Nati, Michele (8908898900)","36665811800; 24072768000; 6506463530; 8908898900","Validation of WSN simulators through a comparison with a real testbed","2010","PE-WASUN'10 - Proceedings of the 7th ACM Symposium on Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks, Co-located with MSWiM'10","","","1868611","103","104","1","10","10.1145/1868589.1868611","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650106682&doi=10.1145%2f1868589.1868611&partnerID=40&md5=2213a51df152277efb3fec081295a2f0","Simulation results can only approximate testbed ones but, at the best of our knowledge, only very few papers such as [11, 8, 12, 15] studied the reliability of simulators. In this work, we used the results of some experiments on Motelab [9] testbed as a baseline to evaluate the accuracy of NS-2 [3] and Castalia [10] simulators. Our results show that the use of simulators in default configurations may produce unreliable results in the considered scenario, but a simple tuning can significantly increase accuracy. © 2010 Copyright is held by the author/owner(s).","ns-2; omnet++; reliability; simulators","Computer network performance evaluation; Reliability; Sensors; Simulators; Test facilities; Testbeds; Wireless sensor networks; ns-2; OMNET++; Simulation result; Ad hoc networks","Conference paper","","Scopus","2-s2.0-78650106682"
"Ariemma L.; De Carlo N.; Pennino D.; Pizzonia M.; Vitaletti A.; Zecchini M.","Ariemma, Lorenzo (57202991645); De Carlo, Niccolò (57807655800); Pennino, Diego (57207940361); Pizzonia, Maurizio (6603249368); Vitaletti, Andrea (6506463530); Zecchini, Marco (57215119316)","57202991645; 57807655800; 57207940361; 6603249368; 6506463530; 57215119316","Blockchain-Based Tracking of the Supply Chain of the Italian Craft Beer Sector","2022","CEUR Workshop Proceedings","3166","","","130","145","15","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134317063&partnerID=40&md5=ef336d2ee4207b0740fdabbb68c98a79","In the Italian craft beer market, many small breweries and pubs propose a large number of products to beerlovers. In this highly fragmented market, it is hard for the beerlovers to assess the quality of a beer and it is hard for breweries and pubs to inform the beerlover of the quality of their offer. Supply chain tracking is an interesting tool to improve transparency of food markets. However, standard tracking approaches are challenging in highly fragmented contexts for several reasons. In this paper, we show how it is possible to realize a blockchain-based supply chain tracking tailored for the highly fragmented sector of the Italian craft beer. We collaborated with one of the players of that market to analyze the specific problems of that context and we report the results of this analysis. We show a design that addresses those problems and might be generalized to support tracking in other highly fragmented sectors. We estimate costs and that turn out to be affordable for that sector. © 2022 Copyright for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0). CEUR Workshop Proceedings (CEUR-WS.org)","","Blockchain; Commerce; Supply chains; Block-chain; Estimate cost; Food markets; Specific problems; Tracking approaches; Beer","Conference paper","","Scopus","2-s2.0-85134317063"
"Chatterjee S.K.; Das S.; Maharatna K.; Masi E.; Santopolo L.; Mancuso S.; Vitaletti A.","Chatterjee, Shre Kumar (56132450800); Das, Saptarshi (57193720393); Maharatna, Koushik (55904125700); Masi, Elisa (6601957656); Santopolo, Luisa (39762718500); Mancuso, Stefano (7202038064); Vitaletti, Andrea (6506463530)","56132450800; 57193720393; 55904125700; 6601957656; 39762718500; 7202038064; 6506463530","Exploring strategies for classification of external stimuli using statistical features of the plant electrical response","2015","Journal of the Royal Society Interface","12","104","20141225","","","","72","10.1098/rsif.2014.1225","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923240819&doi=10.1098%2frsif.2014.1225&partnerID=40&md5=ce5ad42927d28f9f761f7c9a34b70ed5","Plants sense their environment by producing electrical signals which in essence represent changes in underlying physiological processes. These electrical signals, when monitored, show both stochastic and deterministic dynamics. In this paper, we compute 11 statistical features from the rawnon-stationary plant electrical signal time series to classify the stimulus applied (causing the electrical signal). By using different discriminant analysis-based classification techniques, we successfully establish that there is enough information in the raw electrical signal to classify the stimuli. In the process, we also propose two standard features which consistently give good classification results for three types of stimuli-sodium chloride (NaCl), sulfuric acid (H2SO4) and ozone (O3). This may facilitate reduction in the complexity involved in computing all the features for online classification of similar external stimuli in future. © 2015 The Author(s) Published by the Royal Society. All rights reserved.","Classification; Discriminant analysis; Plant electrical signal; Statistical feature; Time-series analysis","Algorithms; Computer Simulation; Discriminant Analysis; Electricity; Lycopersicon esculentum; Models, Statistical; Ozone; Plant Physiological Phenomena; Plants; Reproducibility of Results; Signal Processing, Computer-Assisted; Sodium Chloride; Soil Pollutants; Stochastic Processes; Sulfuric Acids; Discriminant analysis; Sodium chloride; Stochastic systems; Time series analysis; ozone; sodium chloride; sulfuric acid; ozone; sodium chloride; soil pollutant; sulfuric acid; Classification results; Classification technique; Electrical response; On-line classification; Physiological process; Plant electrical signals; Sodium chloride (NaCl); Statistical features; Article; classifier; discriminant analysis; nonhuman; plant; signal transduction; stimulation; stimulus; algorithm; chemistry; computer simulation; electricity; Markov chain; metabolism; physiology; plant; plant physiology; reproducibility; signal processing; soil pollutant; statistical model; tomato; Classification (of information)","Article","All Open Access; Green Open Access","Scopus","2-s2.0-84923240819"
"Angeletti F.; Chatzigiannakis I.; Vitaletti A.","Angeletti, Fabio (57200441264); Chatzigiannakis, Ioannis (6602645904); Vitaletti, Andrea (6506463530)","57200441264; 6602645904; 6506463530","Privacy preserving data management in recruiting participants for digital clinical trials","2017","HumanSys 2017 - Proceedings of the 1st International Workshop on Human-Centered Sensing, Networking, and Systems, Part of SenSys 2017","","","","7","12","5","24","10.1145/3144730.3144733","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041686555&doi=10.1145%2f3144730.3144733&partnerID=40&md5=1f23827ccd4d939d2c856154dd319d65","Our data is now more valuable than ever. The uncontrolled growth of internet-centered services has led us to accept many compromises about how we share it. In the era of Internet of Things, smart devices are collecting personal data continuously. Now, more than ever, we are in need of privacy-preserving applications where users are always in control of their sensitive data. Previous work focus on the preservation of privacy on datasets possibly collected during clinical trials. In contrast, here we focus on the preservation of privacy during the preliminary recruiting phase of a clinical trial. Our solution, is the first where a) user’s data are not stored in any public database and remain in the user’s private space during the whole recruiting phase and b) at the same time the Clinical Research Institute is assured that it is acquiring useful and authentic data. We provide a proof-of-concept implementation and study its performance based on a real-world evaluation. © 2017 Association for Computing Machinery.","Blockchain; Clinical Trial; IoT; MHealth; Privacy; Wearables","Health care; Information management; Internet of things; Medical applications; mHealth; Block-chain; Clinical research; Clinical trial; Performance based; Privacy preserving; Proof of concept; Real-world evaluation; Wearables; Data privacy","Conference paper","","Scopus","2-s2.0-85041686555"
"Korteweg P.; Marchetti-Spaccamela A.; Stougie L.; Vitaletti A.","Korteweg, Peter (15056237600); Marchetti-Spaccamela, Alberto (7004071298); Stougie, Leen (6701776895); Vitaletti, Andrea (6506463530)","15056237600; 7004071298; 6701776895; 6506463530","Data aggregation in sensor networks: Balancing communication and delay costs","2009","Theoretical Computer Science","410","14","","1346","1354","8","11","10.1016/j.tcs.2008.08.043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-60349123054&doi=10.1016%2fj.tcs.2008.08.043&partnerID=40&md5=a0b5937ba27ac5b10ab14fe3a599bda7","In a sensor network the sensors, or nodes, obtain data and have to communicate these data to a central node. Because sensors are battery powered they are highly energy constrained. Data aggregation can be used to combine data of several sensors into a single message, thus reducing sensor communication costs at the expense of message delays. Thus, the main problem of data aggregation is to balance the communication and delay costs. In this paper we study the data aggregation problem as a bicriteria optimization problem; the objectives we consider are to minimize maximum energy consumption of a sensor and a function of the maximum latency costs of a message. We consider distributed algorithms under a synchronous time model, under an asynchronous time model, and under an almost synchronous time model, where sensor clocks are synchronized up to a small drift. We use competitive analysis to assess the quality of the algorithms. © 2008 Elsevier B.V. All rights reserved.","Bicriteria optimization; Competitive analysis; Data aggregation; Distributed algorithms; Online optimization; Sensor networks","Algorithms; Costs; Electric load forecasting; Optimization; Parallel algorithms; Quality control; Sensor nodes; Sensors; Bicriteria optimization; Competitive analysis; Data aggregation; Distributed algorithms; Online optimization; Sensor networks","Article","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-60349123054"
"Visconti I.; Vitaletti A.; Zecchini M.","Visconti, Ivan (8951609400); Vitaletti, Andrea (6506463530); Zecchini, Marco (57215119316)","8951609400; 6506463530; 57215119316","Preventing Content Cloning in NFT Collections","2023","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","13907 LNCS","","","84","99","15","0","10.1007/978-3-031-41181-6_5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174447162&doi=10.1007%2f978-3-031-41181-6_5&partnerID=40&md5=d784f7162ab27c72ffdba51e4640eba0","The concept of Non-Fungible Token (NFT) has found many applications with great impact. One of the most appealing uses of NFTs is the possibility of creating and managing an NFT collection where each token regulates the ownership of a digital asset and new tokens can be minted according to some rules. In this work, we investigate the natural question of whether a digital asset could be duplicated inside a collection of NFTs. Interestingly, while intuitively uniqueness should be enforced by the use of NFTs, we observe that the existence of clones is possible according to the mainstream approaches of Ethereum (i.e., ERC-721 contracts) and Algorand (i.e., ASAs). Moreover, we have scrutinized famous NFT collections that have been built on such decentralized platforms and our findings show that, unfortunately, the uniqueness of a digital asset in a collection (e.g., the guarantee that at most one NFT is generated for the ownership of a specific digital painting) is at risk if the minter (i.e., a single point of failure) is at some point corrupted. Next, we propose a natural and simple functionality FCollNFT abstracting the management of NFT collections that, by design, does not allow clones in a collection. While in general, ERC-721 and ASAs do not securely realize FCollNFT, we discuss the design of an NFT collection that is compliant with the ERC-721 standard and at the same time realizes FCollNFT, therefore, guaranteeing by design that even a malicious minter can not introduce clones in the collection. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.","ASA; Collection; ERC-721; NFT","Clone cells; ASA; Collection; Decentralised; Digital assets; Digital painting; ERC-721; Non-fungible token; Simple++; Single point; Cloning","Conference paper","","Scopus","2-s2.0-85174447162"
"Chatterjee S.K.; Das S.; Maharatna K.; Masi E.; Santopolo L.; Colzi I.; Mancuso S.; Vitaletti A.","Chatterjee, Shre Kumar (56132450800); Das, Saptarshi (57193720393); Maharatna, Koushik (55904125700); Masi, Elisa (6601957656); Santopolo, Luisa (39762718500); Colzi, Ilaria (35572952000); Mancuso, Stefano (7202038064); Vitaletti, Andrea (6506463530)","56132450800; 57193720393; 55904125700; 6601957656; 39762718500; 35572952000; 7202038064; 6506463530","Comparison of decision tree based classification strategies to detect external chemical stimuli from raw and filtered plant electrical response","2017","Sensors and Actuators, B: Chemical","249","","","278","295","17","27","10.1016/j.snb.2017.04.071","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018534100&doi=10.1016%2fj.snb.2017.04.071&partnerID=40&md5=da1d013f0c18a3a759a8a4424d7cf7e9","Plants monitor their surrounding environment and control their physiological functions by producing an electrical response. We recorded electrical signals from different plants by exposing them to Sodium Chloride (NaCl), Ozone (O3) and Sulfuric Acid (H2SO4) under laboratory conditions. After applying pre-processing techniques such as filtering and drift removal, we extracted few statistical features from the acquired plant electrical signals. Using these features, combined with different classification algorithms, we used a decision tree based multi-class classification strategy to identify the three different external chemical stimuli. We here present our exploration to obtain the optimum set of ranked feature and classifier combination that can separate a particular chemical stimulus from the incoming stream of plant electrical signals. The paper also reports an exhaustive comparison of similar feature based classification using the filtered and the raw plant signals, containing the high frequency stochastic part and also the low frequency trends present in it, as two different cases for feature extraction. The work, presented in this paper opens up new possibilities for using plant electrical signals to monitor and detect other environmental stimuli apart from NaCl, O3 and H2SO4 in future. © 2017 Elsevier B.V.","Decision tree; Discriminant analysis; Mahalanobis distance classifier; Multiclass classification; Plant electrical signal processing; Statistical features; Time series analysis","Data mining; Decision trees; Discriminant analysis; Feature extraction; Fiber optic chemical sensors; Physiological models; Signal processing; Sodium chloride; Stochastic systems; Time series analysis; Classification algorithm; Feature-based classification; Mahalanobis distances; Multi-class classification; Physiological functions; Plant electrical signals; Statistical features; Surrounding environment; Classification (of information)","Article","All Open Access; Green Open Access","Scopus","2-s2.0-85018534100"
"Becchetti L.; Bergamini L.; Ficarola F.; Salvatore F.; Vitaletti A.","Becchetti, Luca (56218807100); Bergamini, Lorenzo (36665811800); Ficarola, Francesco (55210769400); Salvatore, Francesco (57213606828); Vitaletti, Andrea (6506463530)","56218807100; 36665811800; 55210769400; 57213606828; 6506463530","First experiences with the implementation and evaluation of population protocols on physical devices","2012","Proceedings - 2012 IEEE Int. Conf. on Green Computing and Communications, GreenCom 2012, Conf. on Internet of Things, iThings 2012 and Conf. on Cyber, Physical and Social Computing, CPSCom 2012","","","6468334","335","342","7","3","10.1109/GreenCom.2012.147","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875508715&doi=10.1109%2fGreenCom.2012.147&partnerID=40&md5=8bc8fa11b0a4b4d1d260b453cbbe2366","In this paper we present an implementation of Population Protocols, a well-known fully decentralized computational model, on physical devices. We implemented the protocols sensing platforms developed with the support of the SocioPat-terns research collaboration. This implementation enabled us to evaluate the protocols on a small-scale social network and thus to demonstrate their feasibility to run on real hardware platforms. To the best of our knowledge, this is the first time Population Protocols are implemented and tested on real physical devices. We also collected traces of social interactions to setup simulations on NetLogo, and thus enable the comparison of results obtained through simulation with those obtained in real experiments. © 2012 IEEE.","Implementation; Population protocols; Social networks","Internet; Computational model; Hardware platform; Implementation; Physical devices; Research collaborations; Sensing platforms; Social interactions; Social Networks; Social networking (online)","Conference paper","","Scopus","2-s2.0-84875508715"
"Marcucci A.; Nati M.; Petrioli C.; Vitaletti A.","Marcucci, Alessia (8908899200); Nati, Michele (8908898900); Petrioli, Chiara (6601979635); Vitaletti, Andrea (6506463530)","8908899200; 8908898900; 6601979635; 6506463530","Directed diffusion light: Low overhead data dissemination in wireless sensor networks","2005","IEEE Vehicular Technology Conference","61","4","","2538","2545","7","10","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-26444605432&partnerID=40&md5=2a1689f9dac0e4d635b4743f55b5851e","In this paper we introduce Directed Diffusion Light, a variant of the well-known protocol Directed Diffusion (DD), which results in significant savings in terms of exchanged control messages and energy consumption, and improvements in network lifetime. Directed Diffusion Light defines local rules to generate a sparse logical topology over which DD can be run. This decreases the costs associated to the required DD periodic floodings. Ns-2 based simulation results show that, when 300 sensor nodes are deployed over a squared area of side 200m Directed Diffusion Light is able to increase the network lifetime four times, to halve the average energy consumption, and to reduce the control overhead to one third the one of DD. ©2005 IEEE.","","Energy utilization; Information dissemination; Network protocols; Sensors; Directed diffusion (DD); Network lifetime; Telecommunication networks","Conference paper","","Scopus","2-s2.0-26444605432"
"Becchetti L.; Bergamini L.; Ficarola F.; Vitaletti A.","Becchetti, Luca (56218807100); Bergamini, Lorenzo (36665811800); Ficarola, Francesco (55210769400); Vitaletti, Andrea (6506463530)","56218807100; 36665811800; 55210769400; 6506463530","Population protocols on real social networks","2012","PE-WASUN'12 - Proceedings of the 9th ACM Symposium on Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks","","","","17","24","7","2","10.1145/2387027.2387031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869779218&doi=10.1145%2f2387027.2387031&partnerID=40&md5=6777972c11a30834f1085761bbb26723","In this paper we present an experimental analysis to assess the performance of Population Protocols, a well-known fully decentralized computational model, on real, dynamic social networks. We set-up two infrastructures to collect data coming from wireless active RFID tags, and we asked - 120 volunteers to wear them while normally moving and interacting in the monitored areas. We then used the collected data to evaluate Population Protocols on these real topologies using NetLogo simulator. To the best of our knowledge, this is the first time population protocols are evaluated on real social networks. Copyright 2012 ACM.","Population Protocols; Social Networks","Sensors; Social networking (online); Wireless ad hoc networks; Wireless sensor networks; Active rfid tags; Computational model; Experimental analysis; NetLogo; Social Networks; Computer network performance evaluation","Conference paper","","Scopus","2-s2.0-84869779218"
